MARCA,PROPRIETÁRIO,UF,CPF_CNPJ,P_operador,OPERADOR,UF,CPF_CNPJ,NOME FABRICANTE,MODELO,CATEGORIA,DATA TRANSF,DATA DE AQUISIÇÃO,GRAVAME,SITUAÇÃO DE AERONAVEGABILIDADE
PPCBM,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,Bombeiros,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,HELIBRAS,AS 350 B2,ADE,2/18/2009,8062009,,N
PPECE,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,Bombeiros,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,HELIBRAS,AS 350 BA,ADE,2/5/2014,2082013,,N
PPEEP,SECRETARIA DE SEGURANCA PUBLICA RJ,RJ,00.000.000/0000-00,Seg. Pública,SECRETARIA DE SEGURANCA PUBLICA RJ,RJ,00.000.000/0000-00,HILLER AVIATION,FH-1100,ADE,8/7/1970,,,C82
PPEFN,SECRETARIA DE SEGURANCA PUBLICA RJ,RJ,00.000.000/0000-00,Seg. Pública,SECRETARIA DE SEGURANCA PUBLICA RJ,RJ,00.000.000/0000-00,HILLER AVIATION,FH-1100,ADE,6/19/1974,,,C82
PPEGE,SECRETARIA DE SEGURANCA PUBLICA RJ,RJ,00.000.000/0000-00,Seg. Pública,SECRETARIA DE SEGURANCA PUBLICA RJ,RJ,00.000.000/0000-00,HILLER AVIATION,FH-1100,ADE,10/4/1977,,,C82
PPEIH,POLICIA CIVIL DO EST.DO R.DE JANEIRO,RJ,42.498.725/0001-00,PCERJ,POLICIA CIVIL DO EST.DO R.DE JANEIRO,RJ,42.498.725/0001-00,EUROCOPTER FRANCE,AS 350 BA,ADE,5/3/1985,,,C18
PPELB,SUBSECRETARIA MILITAR DA CASA CIVIL,RJ,16.481.961/0001-03,Subsecretaria ,SUBSECRETARIA ADJ. DE OPERACOES AEREAS,RJ,16.481.961/0001-03,EUROCOPTER FRANCE,SA 365 N1,ADE,1/28/1992,,CESSÃO DE USO,C8
PPEVA,POLICIA CIVIL DO ESTADO DO RIO DE JANEIRO,RJ,42.498.725/0005-25,PCERJ,POLICIA CIVIL DO ESTADO DO RIO DE JANEIRO,RJ,42.498.725/0005-25,EUROCOPTER FRANCE,AS 355 N,ADE,1/24/2014,2082013,,C8
PPMBM,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,Bombeiros,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,HELIBRAS,AS 350 B2,ADE,12/27/2013,19122013,,N
PPMHI,CORPO DE BOMBEIRO DO ESTADO DO RJ,RJ,28.176.998/0004-41,Bombeiros,CORPO DE BOMBEIRO DO ESTADO DO RJ,RJ,28.176.998/0004-41,HELIBRAS,AS 350 B2,ADE,2/18/2009,1012009,,N
