id_ocorrencia,local_ocorrencia,latitude_ocorrencia,longitude_ocorrencia,data_ocorrencia,hora_ocorrencia,presen_agen_segur_ocorrencia,qtd_morto_civil_ocorrencia,qtd_morto_agen_segur_ocorrencia,qtd_ferido_civil_ocorrencia,qtd_ferido_agen_segur_ocorrencia,fonte_ocorrencia,estado_id,cidade_id,nome_cidade,cod_ibge_cidade,gentilico_cidade,populacao_cidade,area_cidade,densidade_demo_cidade,nome_estado,uf_estado,cod_ibge_estado
8758,"Maré, Rio de Janeiro - RJ, Brasil",-22.8574962616,-43.2430152893,2018-01-09,15:57:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
10431,"R. Alice - Laranjeiras, Rio de Janeiro - RJ, Brasil",-22.9353773,-43.194631,2018-01-19,20:54:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
16,"Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9196510315,-43.684387207,2016-07-05,6:02:00,1,0,1,0,0,1,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
17,"Rua Barão - Praça Seca, Rio de Janeiro - RJ, Brasil",-22.8986415863,-43.3523597717,2016-07-05,13:44:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
18,"Estrada da Covanca - Tanque, Rio de Janeiro - RJ, Brasil",-22.9148578644,-43.348197937,2016-07-05,13:48:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
21,"Complexo do Alemão, Rio de Janeiro - RJ, Brasil",-22.8593330383,-43.2754745483,2016-07-05,16:32:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
22,"Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9196510315,-43.684387207,2016-07-05,16:35:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
24,"Av. Brás de Pina - Vila da Penha, Rio de Janeiro - RJ, Brasil",-22.8407840729,-43.3039512634,2016-07-05,18:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
26,"Morro do Sao Jose - Praça Seca, Rio de Janeiro - RJ, Brasil",-22.9069442749,-43.3408317566,2016-07-05,18:51:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
27,"Rua Guaiúba - Acari, Rio de Janeiro - RJ, Brasil",-22.8232803345,-43.345500946,2016-07-05,18:55:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
29,"Avenida Antares - Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9217586517,-43.6634178162,2016-07-05,19:17:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
31,"Rua Ana Neri próximo ao 1255 - Rocha, Rio de Janeiro - RJ, Brasil",-22.9008750916,-43.2481269836,2016-07-05,19:30:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
33,"Morro Sao Joao - Sampaio, Rio de Janeiro - RJ, Brasil",-22.9077777863,-43.2616653442,2016-07-05,19:50:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
34,"Rua Piracambú - Acari, Rio de Janeiro - RJ, Brasil",-22.8246002197,-43.3457946777,2016-07-05,20:34:00,1,1,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
35,"Rua Arlíndo Cardoso - Santíssimo, Rio de Janeiro - RJ, Brasil",-22.8819732666,-43.4999809265,2016-07-05,19:00:00,0,1,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
36,"Campo Grande, Rio de Janeiro - RJ, Brasil",-22.9035835266,-43.566242218,2016-07-05,20:58:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
37,"Rua Alcobaça - Ricardo de Albuquerque, Rio de Janeiro - RJ, Brasil",-22.8269805908,-43.3921813965,2016-07-05,20:45:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
39,"Penha, Rio de Janeiro - RJ, Brasil",-22.8308544159,-43.2698173523,2016-07-05,21:56:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
