,timezone,tweet,hashtags,photos,retweets_count,replies_count,video,place
0,-3.0,"em julho, consegui, depois de um ano de pedidos e recursos via lei de acesso à informação, publicar dados sobre uso do helicóptero da polícia civil, o caveirão aéreo, em operações em favelas.  https://extra.globo.com/casos-de-policia/rio-teve-operacoes-com-caveirao-voador-cada-quatro-dias-em-2018-23790068.html …",[],[],2.0,1.0,0.0,
1,-3.0,"esse caveirao aéreo praticamente na minha janela 🙄 eu hein, acorda assim😡😡😡",[],[],0.0,0.0,0.0,
2,-3.0,#bdrj para esses bandidos no alto do morro merecem um caveirão aéreo. helicóptero mandando bala neles e nos amiguinhos. ah mas vcs defendem bandidos né! esqueci que não gostam do helicóptero nas operações!,['#bdrj'],[],0.0,0.0,0.0,
3,-3.0,patrulheiro de assalto aéreo picareta squeak picareta flamingo rosa emote andando e assobiando nog ops honor guard rogue spider knight frozen glow caveirão emote cabaré e country rubi infiltrador anjo rodeio de foguetes essa é minha lista.n acaba por aq,[],[],0.0,0.0,0.0,
4,-3.0,"eu acho que se eu pago um festival, chego lá e tem um palco favela que imita barulho de caveirao aereo, não tem dinheiro gasto certo, eu meto o pé na hora",[],[],0.0,0.0,0.0,
5,-3.0,"e você que gasta 6 milhões em um caveirão aéreo, pra metralhar pessoas inocentes só pela cor de sua pele e o bairro onde vivem... lamentável é as pessoas não perceberem quem são os verdadeiros genocidas",[],[],0.0,0.0,0.0,
6,-3.0,"ou a gente muda essa lógica de combate ao tráfico de drogas e armas ou mais inocentes e operadores do estado irão morrer. modernamente, não se combate o tráfico com homens de fuzil, caveirão aéreo e tanque de guerra na favela. se combate mapeando o caminho do dinheiro!",[],[],0.0,0.0,0.0,
7,-3.0,estudantes da escola municipal do complexo da maré agachados sob ataque do caveirão aéreo,[],[],0.0,0.0,0.0,
8,-3.0,o caveirão aéreo dá rasantes no mirante do leblon e na pedra do arpoador e a galera aplaude. não há previsão de fim para essa barbárie.,[],[],0.0,0.0,0.0,
9,-3.0,"imagina sua mãe saindo pra trabalhar de manhã cedo os canas faz operação na favela, aonde eu moro os canas vem de caveirao aéreo dando tiro pra baixo ele não sabe em quem tá dando tiro as vezes acerta morador e criança que não tem nada haver e muitas das vezes tá dentro de cs tb",[],[],2.0,1.0,0.0,
