DATA,MES,HORA_INICIO,HORA_TERMINO,AERONAVES,MOTIVO,LOCAL,SOLICITANTE,DIA_DA_SEMANA,duracao_num,duracao
27/06/2017,06/2017,05:30:00,07:30:00,PR-EPC,OPR,JAPERI,CORE,2,2,2:00:00
18/07/2017,07/2017,06:30:00,16:00:00,PR-EPC,OPR,VILA VINTEM ,CORE,2,"9,5",9:30:00
24/07/2017,07/2017,10:00:00,10:55:00,PR-EPC,OPR,MARÉ ,CORE,1,"0,9",0:55:00
26/07/2017,07/2017,05:59:00,07:00:00,PR-EPC,OPR,CESARÃO ROLA,CORE,3,1,1:01:00
26/07/2017,07/2017,08:00:00,09:13:00,PR-EPC,OPR,CESARÃO ROLA,CORE,3,"1,2",1:13:00
27/07/2017,07/2017,05:20:00,07:04:00,PR-EPC,OPR,CARAMUJO,CORE,4,"1,7",1:44:00
01/08/2017,08/2017,06:16:00,07:30:00,PR-EPC,OPR,DIQUE ,CORE,2,"1,2",1:14:00
04/08/2017,08/2017,06:05:00,06:55:00,PR-EPC,OPR,MUQUIÇO,DH,5,"0,8",0:50:00
05/08/2017,08/2017,05:50:00,06:37:00,PR-EPC,OPR,COMPLEXO DO LINS,CORE,6,"0,8",0:47:00
07/08/2017,08/2017,11:20:00,16:07:00,PR-EPC,OPR,PARATY/ANGRA ,EAB,1,"4,8",4:47:00
11/08/2017,08/2017,06:10:00,06:51:00,PR-EPC,OPR,JACARÉ ,CORE,5,"0,7",0:41:00
11/08/2017,08/2017,13:15:00,13:39:00,PR-EPC,OPR,JACARÉ,CORE,5,"0,4",0:24:00
11/08/2017,08/2017,16:00:00,17:30:00,PR-EPC,OPR,JACARÉ,CORE,5,"1,5",1:30:00
12/08/2017,08/2017,14:00:00,14:44:00,PR-EPC,OPR,MANDELA,CORE,6,"0,7",0:44:00
12/08/2017,08/2017,17:30:00,18:22:00,PR-EPC,OPR,JACÉRE,CORE,,"0,9",0:52:00
,08/2017,16:00:00,17:30:00,PR-EPC,OPR,JACAREZINHO,CORE,,"1,5",1:30:00
,08/2017,06:00:00,06:41:00,PR-EPC,OPR,IGREJINHA/GROTA,CORE,,"0,7",0:41:00
,08/2017,11:00:00,12:02:00,PR-EPC,OPR,JACAREZINHO,CORE,,1,1:02:00
,08/2017,07:00:00,07:46:00,PR-EPC,OPR,JACAREZINHO,CORE,,"0,8",0:46:00
,08/2017,07:00:00,07:35:00,PR-EPC,OPR,VILA KENNEDY,CORE,,"0,6",0:35:00
,08/2017,08:00:00,09:00:00,PR-EPC,OPR,VILA KENNEDY ,CORE,,1,1:00:00
,09/2017,15:40:00,16:41:00,PR-EPC,OPR,JACAREZINHO ,CORE,,1,1:01:00
,09/2017,08:58:00,10:00:00,PR-EPC,OPR,COSTA BARROS ,CORE,,1,1:02:00
,09/2017,07:30:00,08:48:00,PR-EPC,OPR,JACARÉ,CORE,,"1,3",1:18:00
,09/2017,06:30:00,06:43:00,PR-EPC,OPR,BENFICA/ARARÁ,CORE,,"0,2",0:13:00
,09/2017,10:30:00,11:20:00,PR-EPC,OPR,MARÉ/JACARÉ,CORE,,"0,8",0:50:00
,09/2017,11:50:00,12:24:00,PR-EPC,OPR,ROCINHA,CORE,,"0,6",0:34:00
,09/2017,15:40:00,16:10:00,PR-EPC,OPR,BOREL/MACACOS,CORE,,"0,5",0:30:00
,09/2017,16:30:00,16:54:00,PR-EPC,OPR,USINA,CORE,,"0,4",0:24:00
,09/2017,20:00:00,20:51:00,PR-EPC,OPR,JOATINGA,CORE,,"0,9",0:51:00
,10/2017,06:30:00,07:14:00,PR-EPC,OPR,FALET,CORE,,,
,10/2017,13:30:00,14:24:00,PR-EPC,OPR,FALET,DCOD,,"0,9",0:54:00
08/10/2017,10/2017,17:30:00,01:13:00,PR-EPC,OPR,SÃO GONÇALO,CORE,7,,
09/10/2017,10/2017,10:06:00,11:04:00,PR-EPC,OPR,MARÉ,CORE,1,,
11/10/2017,10/2017,16:00:00,16:52:00,PR-EPC,OPR,AFONSOS,CORE,3,,
18/10/2017,10/2017,13:00:00,14:26:00,PR-EPC,OPR,SÃO GONÇALO,DGPE,3,,
25/10/2017,10/2017,13:20:00,14:29:00,PR-FEC,OPR,MANGUEIRA,DGPE,3,,
