"DATA","AERONAVE","LOCAL"
"06/01/2018","PR-FEC","JACONÉ"
"09/01/2018","PR-FEC","PREVENTÓRIO/NIT"
"11/01/2018","PR-FEC","PEDREIRA"
"12/01/2018","PR-FEC","JACARÉ"
"12/01/2018","PR-FEC","JACARÉ"
"12/01/2018","PR-FEC","JACARÉ"
"14/01/2018","PR-FEC","JACARÉ"
"16/01/2018","PR-FEC","DIQUE"
"24/01/2018","PR-FEC","CHACRINHA"
"25/01/2018","PR-FEC","JACAREZINHO"
"01/02/2018","PR-EPC","PARQUE ROSEIRAL"
"02/02/2018","PR-EPC","PRAZERES"
"02/02/2018","PR-EPC","IMBARIÊ"
"02/02/2018","PR-FEC","IMBARIÊ"
"03/02/2018","PR-FEC","CDD"
"11/02/2018","PR-EPC","BARRA"
"11/02/2018","PR-EPC","CEM.S.SEB./PRAIA MACUMBA"
"15/02/2018","PR-EPCC/PR-FEC","SULACAP"
"19/02/2018","PR-EPCC/PR-FEC","LAGOA"
"21/02/2018","PR-EPC","ACARI / IRAJÁ"
"22/02/2018","PR-EPCC/PR-FEC","VILA PINHEIRO"
"23/02/2018","PR-EPC","BANGU / VILA KENEDY"
"23/02/2018","PR-FEC","VILA KENEDY"
"23/02/2018","PR-EPC","BANGU / VILA KENEDY"
"26/02/2018","PR-FECC/PR-EPC","FURQUIM MENDES"
"28/02/2018","PR-FECC/PR-EPC","VILA PINHEIRO / MARÉ"
"02/03/2018","PR-EPC","SÃO GONÇALO"
"02/03/2018","PR-EPC","SÃO GONÇALO"
"06/03/2018","PR-EPC","PREVENTÓRIO/NIT"
"07/03/2018","PR-EPC","SEROPÉDICA"
"08/03/2018","PR-EPC","SEROPÉDICA"
"16/03/2018","PR-EPC","ITAGUAÍ"
"17/03/2018","PR-EPC","NITERÓI"
"21/03/2018","PR-EPC","NITERÓI - LARGO DA BATALHA"
"23/03/2018","PR-EPC","SÃO GONÇALO"
"27/03/2018","PR-EPC","COMPLEXO LINS"
"27/03/2018","PR-EPC","COMPLEXO LINS"
"02/04/2018","PR-EPC","RECREIO / GRUMARI"
"06/04/2018","PR-EPC","FOGUETEIRO"
"06/04/2018","PR-EPC","FOGUETEIRO"
"07/04/2018","PR-EPC","CLUBE MED / ANGRA"
"08/04/2018","PR-EPC","ILHA GRANDE"
"08/04/2018","PR-EPC","CIDIPOL / BENFICA"
