"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"17/10/2009",1,"Rio de Janeiro","Vila Isabel",36,"Morro dos Macacos",,"Nudedh","Youtube","Combate a facções",,"http://g1.globo.com/Noticias/Rio/0,,MUL1344807-5606,00-HELICOPTERO+DA+PM+CAI+DURANTE+OPERACAO+EM+FAVELA+DO+RIO.html",,"GAM",
"21/10/2010",1,"Rio de Janeiro","Campo Grande",144,"Barbante",,"Twitter",,"ND",,,,,
"11/05/2012",1,"Rio de Janeiro","Senador Camará",142,"Coréia",,"Nudedh","Youtube","Combate a facções",,"http://g1.globo.com/rio-de-janeiro/noticia/2012/05/traficante-matematico-e-encontrado-morto-no-rio.html","SAER",,
"16/08/2012",1,"Rio de Janeiro","Santa Cruz",149,"Favela do Rola",,"Nudedh","Youtube","ND","G1","http://g1.globo.com/rio-de-janeiro/noticia/2013/08/policia-civil-afasta-delegado-por-acao-na-favela-do-rola-no-rio-em-2012.html","SAER",,
"16/04/2013",0,"Rio de Janeiro","Maré",157,"Nova Holanda",,"Redes da Maré","Facebook","ND",,,,,
"23/09/2014",0,"Rio de Janeiro","Maré",157,"Salsa e Merengue","Pinheiro","Maré Vive",,"ND",,,,,
"30/10/2014",0,"Rio de Janeiro","Acari",111,,,"Defezap","Facebook","Vingança",,,"SAER",,
"02/12/2015",0,"Rio de Janeiro","Maré",157,"Nova Holanda","Rubens Vaz;Parque União","Facebook",,"ND",,,,,
"19/08/2016",0,"Rio de Janeiro","Complexo do Alemão",156,"Nova Brasília","Canitar;Fazendinha","Maré Vive",,"ND",,,,,
"04/01/2017",0,"Rio de Janeiro","Complexo do Alemão",156,"Fazendinha",,"GAM",,"ND",,,,"GAM",
"05/01/2017",0,"Rio de Janeiro","Copacabana",24,"Pavão Pavaozinho",,"GAM",,"ND",,,,"GAM",
"06/01/2017",0,"Rio de Janeiro","Vicente de Carvalho",73,"Juramento","Serrinha","GAM",,"ND",,,,"GAM",
"10/01/2017",0,"Rio de Janeiro","Manguinhos",39,,"Jacarezinho","GAM",,"ND",,,,"GAM",
"11/01/2017",0,"Rio de Janeiro","Penha",43,"Vila Cruzeiro","Parque Proletário","GAM",,"ND",,,,"GAM",
"13/01/2017",0,"Rio de Janeiro","Penha",43,"Vila Cruzeiro","Vacaria","GAM",,"ND",,,,"GAM",
"16/01/2017",0,"Angra dos Reis",,,,,"GAM",,"ND",,,,"GAM",
"17/01/2017",0,"Rio de Janeiro","Santa Teresa",14,"Fallet","Fogueteiro;Coroa","GAM",,"ND",,,,"GAM",
"18/01/2017",0,"Rio de Janeiro","Jardim Carioca",100,"Complexo do Dendê","Moneró;Cocotá; Cacuia;Tauá;Bancários","GAM",,"ND",,,,"GAM",
"19/01/2017",0,"Rio de Janeiro","Maré",157,"Parque União","Nova Holanda","GAM",,"ND",,,,"GAM",
"20/01/2017",0,"São Gonçalo",,,"Salgueiro",,"GAM",,"ND",,,,"GAM",
"23/01/2017",0,"Rio de Janeiro","Campo Grande",144,"Carobinha",,"GAM",,"ND",,,,"GAM",
"25/01/2017",0,"São Gonçalo","Complexo do Salgueiro",,,,"GAM",,"ND",,,,"GAM",
"28/01/2017",0,"Rio de Janeiro","Campo Grande",144,"Carobinha",,"GAM",,"ND",,,,"GAM",
"31/01/2017",0,"Niterói",,,"Comunidade do Caramujo",,"GAM",,"ND",,,,"GAM",
"04/02/2017",0,"Rio de Janeiro","Complexo do Alemão",156,"Nova Brasília",,"GAM",,"ND",,,,"GAM",
"05/02/2017",0,"Rio de Janeiro","Complexo do Alemão",156,"Nova Brasília",,"GAM",,"ND",,,,"GAM",
"10/02/2017",0,"Rio de Janeiro","Complexo do Alemão",156,"Nova Brasília",,"GAM",,"ND",,,,"GAM",
"17/02/2017",0,"Rio de Janeiro","Santa Teresa",14,"Fallet",,"GAM",,"ND",,,,"GAM",
"17/02/2017",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM",,"ND",,,,"GAM",
"19/02/2017",0,"Japeri","Engenheiro Pedreira",,"Parque Gandu",,"GAM",,"ND",,,,"GAM",
"23/02/2017",0,"Rio de Janeiro","Maré",157,"Nova Holanda","Parque União","GAM",,"ND",,,,"GAM",
"23/02/2017",0,"Rio de Janeiro","Gamboa",2,"Providência",,"GAM",,"ND",,,,"GAM",
"07/03/2017",0,"Rio de Janeiro","Vila Kennedy",162,,,"GAM",,"ND",,,,"GAM",
"15/03/2017",0,"Rio de Janeiro","Costa Barros",113,"Lagartixa","Morro da Pedreira;Quitanda","GAM",,"ND",,,,"GAM",
"16/03/2017",0,"Rio de Janeiro","Copacabana",24,"Pavão Pavaozinho",,"GAM",,"ND",,,,"GAM",
"16/03/2017",0,"Japeri",,,"Parque Guandu",,"GAM",,"ND",,,,"GAM",
"17/03/2017",0,"Belford Roxo","Parque Roseiral",,,,"GAM",,"ND",,,,"GAM",
"21/03/2017",0,"Niterói","Engenho",,,,"GAM",,"ND",,,,"GAM",
"24/03/2017",0,"São Gonçalo","Complexo do Salgueiro",,,,"GAM",,"ND",,,,"GAM",
"27/03/2017",0,"Niterói","Morro Mar de Rosas",,,"Parque Recife","GAM",,"ND",,,,"GAM",
"28/03/2017",0,"Rio de Janeiro","Copacabana",24,"Pavão Pavaozinho",,"GAM",,"ND",,,,"GAM",
"29/03/2017",0,"Rio de Janeiro","Tijuca",33,"Morro da Formiga",,"GAM",,"ND",,,,"GAM",
"07/04/2017",0,"São Gonçalo","Complexo do Salgueiro",,,,"GAM",,"ND",,,,"GAM",
"09/04/2017",0,"Niterói","Charitas",,"Morro do Preventório",,"GAM",,"ND",,,,"GAM",
